Gene.Name,Group4,Group1,Group4.1,Group4.2,Group1.1,Group4.3,Group4.4,Group1.2,Group4.5,Group1.3,Group1.4,Group1.5,Group4.6,Group4.7,Group4.8,Group1.6,Group1.8,Group1.9,Group1.10,Group4.9,Group1.11,Group4.10,Group1.12,Group4.11,Group1.13,Group1.14,Group1.15,Group1.16,Group1.17,Group1.18,Group4.12,Group1.19,Group4.13,Group1.20,Group4.14,Group1.21,Group4.15,Group4.16,Group4.17,Group4.18,Group1.22,Group1.23,Group1.24,Group1.25,Group1.26,Group1.27,Group4.19,Group1.28,Group1.29,Group4.20,Group1.30,Group4.21
APOB,1.81E+11,2.71E+11,2.86E+11,3.15E+11,2.95E+11,1.74E+11,2.58E+11,3.01E+11,3.29E+11,2.84E+11,1.43E+11,2.44E+11,2.40E+11,1.86E+11,3.02E+11,2.86E+11,2.93E+11,1.50E+11,2.73E+11,3.11E+11,3.17E+11,3.02E+11,1.08E+11,1.13E+11,99289321540,1.17E+11,1.92E+11,1.19E+11,2.02E+11,1.81E+11,2.75E+11,3.11E+11,1.47E+11,2.62E+11,3.02E+11,2.38E+11,3.10E+11,2.80E+11,1.56E+11,1.65E+11,2.05E+11,1.61E+11,2.24E+11,1.45E+11,88208137742,95043852329,1.79E+11,1.31E+11,1.07E+11,1.01E+11,99885364995,98665495348
ALB,1.11E+11,91837878564,71810320411,74480258827,73434855927,1.22E+11,81885733817,72359598165,64214288095,66132901931,88125010474,94623076151,87435247702,93956220289,84682462228,77632873882,65465402680,1.07E+11,71803784866,65839856341,73866161173,74805381774,87710032385,1.14E+11,1.12E+11,90730080953,91017505089,75538382872,69780380704,87446386746,74816469142,65061085968,1.05E+11,68019038093,59461527805,72860026161,73936825910,61376957068,70913310611,83930120030,68908591452,85117007980,74422847737,66047998327,86235519413,1.01E+11,74791318062,85265499054,65342052449,1.07E+11,84881492210,58934813062
APOA1,50910143417,55446811128,56231047877,62934819991,51258931152,54399073188,81226310612,82235408950,48261482226,66659163025,59111168967,54311371194,50823571437,76146524423,43467264851,55440605810,57621101194,60985192439,58185643697,46460060844,47004580616,54288753976,75818958684,75673450154,78582095442,62498439051,56720822778,42820586718,49994692659,61848779941,55031004721,56702029009,60686603318,67977307255,55215559992,40503158675,45799956498,45901830333,62698618033,73640881002,1.39E+11,58978284694,74377291141,48437958056,83051658392,57097942305,47111664687,50224377633,48584871547,55586951032,38461670683,51224156027
FN1,22768078035,3584610161,7197524238,3781007564,4137600963,4214449373,3657277601,3036023770,4069257181,4195478655,16962634899,11676146847,6002380574,6889883641,8735577687,4209096512,2680926543,6064388256,4884983854,3389373586,2937164644,3761891503,3508051104,4288804936,3911750321,4403353833,4721867499,6880541742,6954317838,7215076362,5738457317,4646482108,4304879992,5469434808,3848397497,5121812112,5850730949,7499822136,8483647891,7234075395,2904173517,8023366822,2915220158,3097779928,3246319207,4406240755,3890792887,8517222602,9617940363,3641652175,3381118912,3485635079
C3,22420507441,13693303909,12735129107,15280850664,15044986194,21054814316,16593146686,11075693101,11285869263,16620711937,26246905346,16400111078,15478162193,20174165166,14028902378,14456541975,11874819440,24407785790,12705383178,13944174318,12405034233,12522508975,25131970005,29879757706,18230752157,19705797796,14916482027,19345276067,14320743092,16346467077,13082199044,10702487022,16425576761,13581467555,12115441928,17527806865,15871732727,21536053855,20638447951,17223167557,10317051984,17134187187,12734785137,10247713352,26487005950,16492493583,13333564527,14166347689,12142856493,17357658986,33334558176,15529412975
FLNA,4505536714,3729115175,3128866949,3009312654,3159238123,5166693563,3200683935,2778046601,3653327448,3460617923,6551501764,3344973820,3472147941,4727893627,4246740314,3696043000,4507802364,8919378872,6739181675,3791805918,5363661405,3346318850,5192826255,3742572720,6047057948,5559107736,5853927981,8797239068,3246293196,3274972404,2963606261,4461870198,3473939329,4173598064,4191878055,5567893052,5074359484,5320691948,6331218995,10801558884,3275646463,2796180933,2890089946,4440623629,5407800291,9286719364,6525093040,6565107053,7482096990,7412341087,3840546513,7121194157
A2M,7882747021,6706673163,6052944709,8889979463,11462874578,11916743566,9713664993,8422749545,7174963855,18520538561,8381555061,5285048168,8468607557,7485387672,6443645267,7446229564,8919926452,7122981354,6952452245,10731023545,5719492587,7599219792,6889683830,10027495202,7174836735,8135887343,7852899762,8141998415,9229968882,11482107996,5831636933,16754520589,11172169696,10481817871,5880709113,11447696535,6711628740,10628812149,8440465984,7026531013,7024087492,10705813701,12289458121,8871920368,7892434561,8179265227,8502929776,8901129488,8388657966,9613381052,11211258484,7732958250
TLN1,2161382391,2074101445,1373693382,1110940886,1251453802,3446804692,1245408217,1276919091,1454624605,1109137104,3346561431,1697247586,1633050519,2872354995,1644767324,2236524054,2357178292,6816470062,4417003846,1288585129,3005022044,2637867786,8199397077,6700436185,5328902314,4665962729,3914023478,4562992112,1263821714,1233557107,1216941337,1256275196,1993927477,1290021446,2040108614,2599345112,2571521591,2129802297,2797292954,5748192893,930737301.8,1558296735,1023318067,2976064358,2641123957,5216172128,3459801172,3815094387,3073727717,3208365409,1578785098,3054471991
LPA,4747107680,6361081973,2494886969,12474486502,8382694285,8139604108,3875575519,10842261491,6040730675,25370375897,3606074376,12164618418,11447932146,3604422762,6272460856,10901471252,26098911441,4780799635,20895223010,45811167044,8438180545,4939330636,2623378930,9233609037,6386731928,2669859669,16354892032,10329349414,7667868565,8329506737,5918794901,10867181141,6588554246,13191815424,7041686204,5941345394,6508110417,37332459004,10439908016,6597831971,6544630562,6178753533,6724655465,6105855591,9357644973,8430454454,7391813747,7864266438,6045343036,10714335592,13723564649,8450796974
SERPINA1,13271949084,11982819033,9985685908,9539831637,11443254852,34172176752,12319687326,11008960563,9532271984,11285751259,11249986261,9767527346,12440326717,12691167409,10244764401,9494291747,10125620369,13234228429,12083052998,6826135734,12993388755,14204271390,30226977901,35198273819,18877719410,15244000336,11668733833,25989530974,25251095909,14972136540,18517978598,11408358754,22002507170,15600051682,12967445687,22250086301,10329119741,10886595669,56628590907,15439763113,13957165313,15071323469,17403398445,1.40E+11,57857630746,27894905579,60724325066,23793026252,63413416301,24518478737,26462290042,79608896974
MYH9,830543457.7,596883127.3,554386819,542483569.4,767951899.3,1021335524,5045850157,4341553460,4016020443,4149891832,4781333037,4061539154,517671931.8,5155714705,3754478921,4745136429,610565429.5,5945720591,4417811286,4167511999,5200436270,5048213655,828670522.5,797296045.8,8282357597,1059857428,5685568508,5256382387,1453054184,692649393.6,382054947.8,633483608.1,659399304.1,767589660.1,485031068.1,622071471.6,478104390.6,501430207.9,1505340445,1749729238,458996846.9,661036506.5,427183995.8,651589204.9,853679088.3,1408929558,718347121.7,913107990.4,982714000.5,1146164439,901311974,2658372065
VWF,2482254633,2153516868,2566367471,2711899030,2616033970,1758587259,2375577862,2312516625,2676393345,2373066724,1913058895,2248035014,2051631145,2145888470,1674729151,3157027571,1840923496,1296088368,2184833466,2201136971,2767446989,2109194547,980107338,1320854540,866748747.1,1196251642,2103470499,2161600134,4524477912,1979331603,1100976268,1109587982,915468806.9,1076558382,727042507.7,1185679741,900453350.3,1204059628,1344930844,1886408473,572366772.7,1151199890,718448468.1,791195748.8,1687581967,1659308952,2235650105,3474774981,4530130296,1284772118,3210881137,3825946835
C4B,4267302750,2068862845,2171822918,2138288700,3377151795,3180612925,2226333593,2655215130,2240654150,3377779419,5837617329,3219406536,2602177524,3656759078,2169372848,2887232234,3006443881,3149097547,2031757822,1595669061,1967137476,1896277434,3745743908,3308467167,2924085841,3213023137,2457701589,5917528320,3389063414,3294621198,1863783234,2348218622,10483157380,2984163082,2168654727,3086755453,2648779153,2532120958,4946207957,2808109010,2083555579,11670602434,3292915874,3037521976,3249039818,3811880465,3592420687,4683493557,2830472459,4557600367,6239925803,4338066345
LRP1,419284151.9,358196305.2,359664789.2,449062603.2,285934188.6,413181906.1,262672411.4,431046733.2,335280040.7,441924622.3,277435788.8,348741969,405108659.4,394274535.3,328568144.2,540465806.3,515800943.4,252728700.3,477985919.5,663097352.3,308427464.2,255324976.7,401463979.7,321127515,278653910.7,345854018.4,425234460.7,1034634319,753546619,1146363490,639352772,913092139.9,860748319.9,749710079.8,742844539.9,737413729,779859254.4,904604503.2,2184184573,2160566247,781664308.4,3102323442,899881178,740223052.8,641739608.8,1100601818,1082623713,1032155618,627139217.7,880667337.4,743881452.9,632532000.2
IGHM,5363948122,7152428212,16547647653,4809389412,10851705787,6699456954,4236028854,6172429595,10449732796,7425413381,12019692944,6504602418,13514646073,8962605914,9132492641,14318151334,4278672916,17935999249,7470252540,11662155218,9902366793,7585422470,18728188842,24405691521,34185991230,57168764439,27336390434,18471052109,29939289814,15683519873,12910519464,5572027284,11765475344,12177807533,14144248046,16221841198,6017580838,7911025816,11714725557,20519766372,6450389650,11950352421,11574510553,8686328687,18251228471,15770688655,16439652956,27975332306,38537116137,37602359534,25132086113,41952013050
KRT1,9166545798,7763606738,8625062862,3395587635,6972202880,12912280027,9618903081,1982648713,8720443863,4704442956,15296271421,12362231583,12682504766,15345619649,4199182363,5418544766,3529641370,14761153331,7613426509,2362887699,4184908538,8295236867,32127080554,23364157134,9275866246,11576455358,11695594058,12492436766,5155871943,7938277762,3118529867,4197148089,5354884920,8559484586,4004339013,9247506866,3951455027,7429005628,12432139626,9065694406,3576424131,5276082737,3661071042,6659782301,19294966395,24725290274,14869175002,10222186771,18181681970,10469849496,27983816553,18265419257
TF,15048063984,9443082523,8746246662,7810197055,7981883565,14560747988,9476458777,8071099828,8134997587,8148571094,9823368185,11906936932,10792631125,8601246785,5178597480,4356159510,7896689130,8357956614,7421203358,7117424372,7051418062,8614122925,4890060997,7973831551,10332581414,7407230432,7353643882,8066592923,6532745492,8785143065,7195634845,4356188020,8166167486,6153612218,4329362776,7229735249,6679297082,5164843669,10341373979,7130025431,6144046785,6880767382,6459623120,7861775600,5525569760,11356810841,8226697825,10732645537,9312590665,10369966233,9230338513,6543640608
F2,5684256863,4415879213,3280954780,3249719193,3477693510,3905486623,4147200875,4792791505,2936976573,3452896353,5546192470,3839809479,3858504935,4696540301,6272333923,3722337693,5504456866,6653948569,3430187185,4128311614,9116672339,3899140499,5746061775,4628655443,4074683590,8082030300,5195833429,6138108063,4708854138,4904825181,6007953338,4038856484,15811038857,4812035292,5287913071,7730416226,7102142680,3187848231,6158393058,4310689099,4589284176,13317078745,4730038155,5198210552,5861318377,5114455278,4481413993,11349011248,6056260692,4690015371,4053210210,6528981749
CFH,2048261747,2230743666,1846882967,2114651725,2213968577,1839110651,2999217584,2354718359,2975722664,3088986826,2085456383,2459113108,1786508814,2875337757,3624343460,2673186267,3370213984,2413765299,2528194080,2747306824,2352613103,3345782791,1494685540,1731182736,2038475486,1674747804,1835645615,2476160161,3122036095,3396915440,2707721486,2461150236,3763854314,2431883023,2545296569,3129968093,3363774253,2503908345,2417953506,2556347221,2603323176,3873710948,4799283813,2579762020,1168875946,2910356588,2947151113,3119530808,2571921045,4024539440,2027818228,1910532778
C5,1602490539,1265865125,1194376444,1281553773,1470133576,1892363675,1321212952,1244914997,1105429924,1954846355,1938943838,1198258741,1307998433,2593894935,1234993819,1122160223,3080862634,3721234488,1822486428,1185824868,2118500930,2036474392,4422609220,3081464930,4257953809,3699977547,2675215733,3596129699,3750761999,3936594022,3266441737,1664499837,4091498154,1578535382,2156280319,2992263885,2680153498,1858683643,1754926886,2179257083,1199818620,3112603003,2043086263,2501016800,3741902535,2606042204,2942221739,2796693940,3822114197,3363472520,2192085948,3712567207
PLG,2084137943,2234563711,2137942260,1773540750,1971602405,2762506038,2497094958,1597892649,1801832627,2223122568,1847452570,2639024769,2600712753,3294788888,2118373404,2872093207,2558186011,4578393077,2306771474,1684257234,2323465048,1792381218,5320141817,3795598668,4834480995,3139482337,3086897675,1775615808,2603010583,1546242806,2008272548,1418039070,2669237105,2053183106,1956552196,3401166039,1715938351,625384465.6,2850642967,1098816822,1907309856,2431503687,2179759984,2272239584,1202389248,2236895714,2714702054,3125065001,2654978834,1178664485,4906404025,2641153372
DSP,707506444.8,544499086,608635095.5,926898490.1,434065485.9,601421768.3,578430397.2,541338059.6,645893549.3,488082816.6,777073163.3,587032365.1,690154096.4,788164481.7,416421213.7,510365653.7,316645025.7,672235332,422243870.5,363786199,561289268.5,501173627.6,1244489054,837033592.3,474692017.7,577458399.6,587970666.6,700266344.8,473670104.9,463533275.8,442779802.5,450636130.6,718410583.1,408990848.8,316619388.3,456476213,507496587.8,456097582.3,538276360.6,530791843.7,317195413,592810734.6,531592362.1,347976517.1,740209342.4,897353151.9,599549380.9,696276952.9,813430106.5,859931159.2,910339921.9,645979304.8
KRT2,4911769418,2812600828,2451401492,1610389264,2501680168,4212324012,3299127444,1478727662,2340323676,1957187467,4962252559,5592825289,3834472529,4198838625,2457053675,2190645298,1747571136,5111212616,4020242015,1313686068,1646142436,2604461655,5843546877,5585456320,4484468606,3487687576,4880488145,5327508492,5533563835,7264485586,3685421621,3242865404,7927560274,4752208159,3099671647,5448971041,2220906402,3969071196,5192805149,5965175760,3670493359,4859646319,5187189325,7708443151,6484181171,7283583383,6701667773,4312466296,6486994450,9421476487,9552170725,8592621314
HMCN2,126443650.9,95899175.41,94949159.17,86955889.55,95216165.37,119354708.9,122569785.9,60102066.22,95877997.45,91434075.84,97224522.89,93348849.4,98019891.22,106199439.7,105700616.1,87088981.95,112585812.4,133807871.6,102339802.9,117002382.5,117679104,107938641.1,100084710.2,124248958.9,68339871.93,86274941.34,113276263.2,179758331.1,217051571.7,205341964,168230278,117318601.2,133357997.2,162041883,147711768.8,167291004.6,128749551.9,148282361.4,174353565.9,174363473.5,115820942.8,127691710.5,135381925.4,144960632.4,122604263.7,128438842.2,168627804.7,137445379.8,159866176.5,190563461.5,236362876.7,709332554.1
C4BPA,1973059849,931782456.8,920799871.4,823298307.2,1372808041,1309086651,1075095612,1161909320,1063199457,1589476427,2171156512,2304793479,1217369358,3704271052,2218984723,2710673776,2547033155,1841872049,1071296153,1160587661,1232773043,2766113278,2839962138,2716295803,3304199917,3115938542,2445103944,2219302326,2314199551,2711462379,1705279230,1953839169,28349958324,1884113011,1081901960,1389650704,1580164621,1288169043,2025213382,1433013874,1913984347,21828328618,4353282851,2510782505,1734686719,1737234029,1464586192,4278245231,1700756208,2092348319,2248163275,2400779503
COL6A3,402189228,232744459.2,308477390.9,174396109.4,199636341.1,300237055,233054398.9,182434034.6,154417603.4,176192289.3,315632000.6,234999337,337875067.2,460993525.5,175742489.4,275350892.5,256355217.1,245643718,178038213.2,211268440.8,202385896.6,236216163.2,289429080.5,268143612.2,320051241.4,342100218.9,379178165.8,712359843.1,455161480.3,439411090.3,228575196.6,311778625.4,538301698,342752611.7,329332829.8,465700233.9,452214882.5,464941732.4,332890823.5,543420553,360469064.2,396613857.3,320093127.4,574103852.5,607307841,531316711.2,588916667.2,469614993.8,1414001636,907325181.1,268202719.6,701792731.7
ACTN1,387460845.7,417722235.4,463426174.3,342406529.6,343024685.9,753097553.3,486943404.8,301640017.6,424430375.5,433958227.9,842229461.7,504513694.8,524127474.3,737835144,343992703.3,736281642.9,842957832.8,1343856392,1483940595,491280891,547402941.5,601982110.7,1474259623,467937332.4,1580581633,951540272.1,1364466528,1269426284,560427949.7,458067747.2,355693711.5,401224125.5,683613438.6,444242972.4,562157153,848917333.5,759044177.2,594289929.1,539290524.3,1163091144,357479332.9,484310401.2,339220864.7,598312968.5,566530858.7,1004499358,1072734763,1294289118,961410998.6,738781197.2,446556717.2,806985343.3
KRT10,5872116900,5989724311,6571794698,2735121162,4935804725,9712292711,7682212957,1718739970,4859952522,3823742190,14562090658,10933609400,10824107626,12805650271,3986402809,4052988102,2682079778,10184809550,5955130292,1665282626,2620342875,5244198589,18168651454,17616919695,7455804917,6754640922,8842831305,7350568410,1956927501,5066136275,2334149484,2601952024,3085556016,4647989460,2032141562,6118195164,2930028350,4656917727,7602927190,5338096069,873944568.7,1562493742,2730128955,3722407902,14041020332,14853682125,8814778291,5056722220,10928380262,7178548212,17195220420,9472979550
VCL,235606856.7,196892542.3,169437717.7,171858141.8,205276030.4,353628577,161978626.4,189321745.4,137149759.9,191292419.5,356968977.7,190808529.7,423488744.7,422951076,174461883.5,431856285.5,281350430.4,823565803.2,498198943.3,216018306.4,301887551.4,212109259.6,836888527,431640457.2,674120584,667779324.9,626106163.3,1643939648,340643626.1,271381440.9,202788784.9,311545172.6,371428069.2,233857870.7,330367475.4,420483727.4,407818254.2,346140260,455585082.8,1071958518,218141572.7,230771281.4,306224374.3,442201733.3,765495075.1,907297599.8,632200797.7,667770625.6,714516989,771652635.5,719669087.7,710045582.5
ACTB,1847763036,1919570984,1113488619,815577007.3,788036120.7,4315939140,938228079.6,817298890.6,1276840839,990946141.5,4992733379,1850998571,5199559458,3470916138,1667423855,4798523249,2382792311,8071494740,6765465454,1803597495,3722737127,1634792613,6774215232,3129477170,5358685425,5852028038,6434125065,11342712408,1728112577,1529816225,1270820033,1089248271,2604012478,1525035923,2452019698,4053946986,3035792395,2820377829,4676704527,9077602289,1528730680,1787858755,1631786663,6150669775,3845120034,8571115980,5094391088,6196959886,5942094062,5591534286,3223612307,4308031397
KRT9,3953357680,2156770589,1800453329,1078918457,1822242359,3166473760,2324753696,887950627.4,3911014179,1463707058,3693160796,3199042770,2684445107,3310733750,852784549.5,2133276305,1264265522,4931586504,2619479649,778540321.6,1806313409,3436294450,6411107609,6104802978,3048611041,4798472612,3724859916,4237497431,1537090273,2338276912,1289986933,1007808205,1359532130,3557033091,1056649950,3061446348,1000891702,2804765549,3092514936,3507933765,868655684.8,1066765027,1324714002,2649568776,4421303362,9713015571,6306620642,4217460710,5936122530,2580307897,10390853189,5929301618
FCGBP,189408377.3,138989940.3,188028778.4,119423886.4,160224744.6,128035425.7,135673245.1,147733481.1,173634341.5,198015099.5,197178563.1,140412797.4,203925882.2,130684413.5,130512129.6,89534833.01,165905605.6,156203258,129638857.7,194890422.6,216586058.8,168349917.6,165198577.1,757394008.7,172785120.4,133139880.1,160222116.8,313813046.9,719068865,563825890.8,205771674,156689974,209691691.4,191365513.1,242410118.8,346974336.2,123627129.7,200590856.9,316504911.5,312088987.7,202065066.3,481467151.9,288595092.5,214953522.5,237371887.1,296315934.5,356007288.5,489534617.7,614183324.3,628010113,395000650.8,819223850.8
IGHG1,11710403530,7912434878,6331806210,5527953325,6226309969,12267374491,6110194327,6696117303,5563914497,5967004675,11807212196,7575617518,9098966901,8864504606,9899186675,9934348825,7875650550,12385782870,6051400852,8065946333,5959047252,8023131018,14378031067,13091218678,10714040486,13968124285,8170981023,10608753015,9699248144,8579352882,9435650841,5469122965,9712435664,5768291309,5956712757,8295874600,6927516740,6666801963,8071448589,10082119722,6317832882,7226194150,10027629517,7678235404,8030040115,12451773646,8115905133,8780718306,9946792577,11803926265,12069485864,7887569321
HP,7210214831,6257662887,7174990844,3707048490,8662514629,6234578989,4341389989,4979499923,3448683004,6275585567,7730193306,7940373281,8049820314,8086484328,6860040603,4681784393,6621019059,6857034729,6018294732,5464300684,5132484536,7056731289,4641682966,3970284387,8714495960,8218277681,6032083597,7261085498,5584310709,7547157661,5404956322,5258378872,4217127257,3607526571,5511574890,5010125487,4555073782,4126346514,3993082362,4410690354,6035663309,5014331510,7213618043,5026271765,6128573558,6604348846,5293915770,7579029809,7585294770,7921663462,6333490261,5760839736
ITGB3,1065594681,917772799.4,788648069.7,878515629.8,845820470.6,1155082132,1199196816,1155378277,895695283,1081273256,1176769914,1265536077,800152537.4,1012037852,747024501.6,735295603.5,1343903374,2077289704,2097834678,945169696.5,971971788,828065439.5,1904618290,1050791824,1432333462,1367929298,1652440549,3440764071,928044974.5,1073837100,793451997.2,914255007.7,845298328.8,932387940.7,1073618536,1233874167,1235642048,1044933673,1456586081,2409644904,1199582410,851043189.4,1238880317,1050580423,1060019152,2631674071,1389089869,1753853269,1621125036,1394747501,1048299818,1200759989
CP,2122168678,1162629456,944764709.6,809301930.9,1464052331,1631552843,1636162598,1311182386,1412794862,1579658521,1668251792,1271005292,1368009413,1921095977,820413143.3,764657842.1,2116866557,1436946845,1512549627,1241118243,1310126767,1336583153,2370251276,1728893480,1621114248,1833292482,1045714328,2159879665,1245834011,2507127087,1122985820,749024634.2,2435484362,1131377297,820894995.3,1469724520,1485350372,731191379.8,1049671332,1102901212,4768329573,2611936359,2463870097,1296484913,1022857738,1385659378,1087754344,1367443165,1641765624,1392153790,3237908549,1274471514
VTN,2301272077,2074969587,2279155199,1619675669,1993121098,2448407977,1876312670,1958779803,1711987152,1960664662,3799986415,2628621834,2312072164,2627844251,2124231160,1862668402,1774901942,1534400868,1537176806,1549059254,1428285822,1537286721,1181571926,1034653835,1640206787,1488191005,1429986969,2360394695,2356864021,2860501357,2497336306,2116711583,2166078825,2528041372,2306747595,2597534339,2989932550,2813471317,3542217594,2249982325,2204804803,3354452820,2251448040,8781621672,10105864087,2697324361,6986443444,2395521950,3196701966,2253874904,2129706017,7970689445
IGHA1,4750096005,7974038166,5238039329,6906786301,7187172908,5515677611,3132071726,5994203801,5247010215,3969149979,6591861574,2585111251,4270920653,6030948498,6457272884,4750812343,8683805607,5686325843,8699865894,3803049634,4568713928,9692774257,12521944871,7256893443,14823075588,10705326125,9389432332,4058135519,12193471001,12855098302,1325408366,3048542177,7861097400,3166817866,7431945385,8114396589,4394820742,1826883497,3826122075,3685958219,2590133752,13923730883,6045069783,4071470037,7669752657,10052538690,3570731394,6946046689,7208523647,8992962203,7865452538,6055575323
ITGA2B,1445279753,1437673716,1564561863,1540109995,1489765105,1777696670,1765206396,1279510142,1813586115,1347506013,1483948959,1536673140,1477869307,1875090500,1715143642,1195330667,2727668948,2227973583,2756433799,1573601359,1730082622,1730363949,1717907399,1371642006,1318990925,1582708670,1583199569,3991061230,1712230029,1812802454,2270353208,2315368381,1573232535,1824491849,2219737004,2942968311,2679372285,2004235405,1755500113,3142409634,1802861894,1518215430,2021548813,1451770605,1501935025,3010727906,2248132071,2490014165,1985580332,1563463100,1599575362,1377552655
MYH1,103845729.8,133110319.8,118244508,90655959.57,144647294,105903123.9,116575175.3,128573851,70179217.12,94503297.74,72282239.16,106995617.9,3437095695,66099186.53,162880225.2,90275941.79,64919065.94,42411550.39,63381017.02,79838854.05,101893021,60245038.35,51871347.56,43698030.51,77608020.55,51076209.84,52169073.41,155709403.5,181445235.2,124563186.7,237360544.9,228758593,84119015.25,196198845.4,180212656.5,195030895.9,170780159,193559179.6,121628058.8,124330112.6,201627521.8,127475164.7,1119711249,114132817.1,65799930.92,81837417.88,107863666.4,101453517.8,87770595.75,76677335.55,119263815.5,81842967.48
APOA4,7106810598,8889905973,6704564016,4249320589,3937236491,5888660593,7187682075,6161208537,4166999150,5400476636,6847648360,7028116705,5980257464,8129112713,4107244040,4333115058,3845663179,4395082655,4395813469,3643804286,1910454510,4498197914,2226668993,1679415422,5947720576,3020336130,4711206892,6594964558,7367168364,9981367621,6979363505,10221528176,10096159152,7443859461,6722394711,8463976490,7398907786,10645686767,12153378716,12499817149,10746865265,11255943926,13028700132,5755969869,15027269842,10948347639,12858023838,7487401818,5742406274,12716496024,6634592463,5837026868
KRT14,981954276.1,835538282.6,881532479.3,697634670.3,851024022.8,957263980.2,994300553,691961609.1,837572642.3,748077096.2,1289057024,1140817491,1195794673,1330586344,694077455,399551069.3,669286995.1,930581613.4,869681895.8,680379274.7,777047058.4,956065860.7,2422005789,1147594810,653892615.8,786792995.3,1114319279,757371947.2,285228644.1,502276870.6,300783247.7,409398848.8,390691915.1,631647836.6,319162563.1,682367373.8,315126609.4,547374940.4,907863657.1,474175213.1,381548066.9,357638019.9,475247524,598638825.8,794104528.9,1677771830,1029911252,934792223.9,1030794894,670501596.8,1342353737,1194199890
ITIH2,3260557895,2470542903,1730161158,1436755326,1718061436,1515043334,1443352062,1447510645,1189285613,1541715679,4700930363,2286171545,3351409428,2175384670,2148301003,1631119870,1571701172,2575739917,1543191430,1587995410,2032293397,1394416564,2922754237,1870309642,2415339262,2143584947,2035225166,4288849232,2165109747,3285990997,2402040626,1408477813,2217557147,1665202344,2117832047,2636311557,2215880337,2575053628,2743510594,1581593267,1558294516,2197869003,1889654215,4327255593,3441094722,3215556940,4020885873,2526350123,2659699659,3163785781,1497544075,3602408016
THBS1,702085700,503946588,542345149.2,789151385.7,705246401.3,544724094.7,532267890.6,513864560,627540855.6,588935759.2,1200540732,518026939.9,456667409.7,622585346.7,667023516.3,496321647.8,453779063.6,774991811.8,439036017,517499785.4,594989634.3,605476824.7,894952989.4,601544456.9,1623954572,884657017.4,611234911.8,686487911.7,579662630.4,387028254.6,392020143.4,535289022.2,377143746.7,592818041.3,428628428.7,648788212,524038344.7,1436067639,426040906.6,304803290.4,302644407.9,241498123.7,364305480.2,293977386.7,450440614.8,595897986.6,507559056.4,489300174.4,431038268.6,411586051.8,730983826.8,595920288.3
ITIH4,1433266761,706741133.2,881485467.5,506343384.6,852104225.4,570692034.9,491702895.7,482004345.7,673921467.6,567575594.8,1082064580,1070167901,763117599.1,763845265.8,686652402,851830918.2,408166930.8,679734258.3,941821335.7,1047514740,533710186.5,505299827.5,1222642536,1079682330,872171380.9,1146647970,762852286.5,3534479174,1256469439,1211995384,873945777.3,846258979.9,1155079403,883677655.6,931042756.6,1295799404,961961457.9,1058537650,4867796119,5021061183,1293930221,10372636145,1077121551,1158496642,857870696.5,1797863690,1572457142,2229048559,1310517240,1312641765,2026750048,1082895852
TTN,2654318007,1882519898,1783917358,2481190155,1707374504,2600232333,2081452174,1442066019,1638655571,1702083095,3261264050,1828797762,1868247233,2453428441,1725328262,1408683233,1567213921,2816867807,1869235701,1424517603,2499178050,2027390929,4005626419,2549051748,3136818391,2432177226,2033830801,1704936462,2088541201,2112895196,2037951260,2053021446,1750304942,1872490395,2928518469,1832243366,1932680056,2564851431,2074984162,1922920096,2210477072,1777522321,2007987582,1822024020,2196927522,1921436854,2409367547,1731324031,1600010919,2115874886,1732862678,1981502557
GSN,2039827705,2658504438,2608513870,2293075152,2221315124,2475455539,2173152669,1853413279,2631956609,2131631251,3583190690,2509278670,2327933583,2133572868,2509760477,2256030251,2644544827,3250732021,3280210686,2926753532,3172280416,2196029446,2294853863,1701000254,2214485360,2551271337,3548838677,2322909108,849779609.2,1251540127,705828641,745343707,1047613458,678303990.5,950928076.5,1144082194,1195392758,1238858781,1455517415,2064396882,611614016.2,737725157.3,746998365.1,1062805367,1367693247,1864880738,1527744113,1586348701,1422758946,1756641716,1426796652,1727031681
ITIH1,685147387.9,473066401.7,402416112.7,368820689.7,430722437.2,356013306.7,377824534.7,327868484.8,331926315.8,344649063,666488674.9,551278249.8,471445475.9,337432903.2,507850708.4,429310287.4,307320102.2,367730659.1,261029098.5,235797754,293731387.7,289220841.9,915077015,979497533.5,439275094.8,431908319.8,315975367.9,1001229284,545609469.9,1118616245,762705973.7,448273769.6,923913319.8,571994607.4,522441865.7,695289673.3,486156947.4,533905867.2,734149633.9,680121602.5,472507253.6,879513616,557137452.4,606232657.8,816636097.8,1174349342,680778507.6,899952920.7,832588468,1028625927,1381870830,775991710.5
C1R,933207211,571424926.2,2047760163,474680641.5,506627576.3,884564413.1,484780000.2,399322973.6,792950416.5,515205550.7,1128173320,656432023.9,755864060.7,958232172.6,564718230.3,611198544.8,346143709.4,723711729.9,602292475.6,597103822.4,404557160.1,356852812.8,784031943.3,1450217203,1272830584,944924278.8,1085124455,982066051,582367373.6,1023736408,615597345.1,522042909.5,621982802.6,506317492.5,523423002.2,679004013.7,513770799.1,498948796.6,817105254.2,850602918.9,292658745,622012019.6,605813886.3,637071100.8,713576716.3,1147303367,638939076,844315188.7,1299665347,1293073820,1410324306,1149021138
